Date,Price
2014/1/2,1601.514227
2014/1/3,1604.975713
2014/1/6,1540.361306
2014/1/7,1542.668964
2014/1/8,1517.284732
2014/1/9,1536.89982
2014/1/10,1544.976621
2014/1/13,1538.053649
2014/1/14,1564.591709
2014/1/15,1551.899593
2014/1/17,1503.438788
2014/1/20,1516.130904
2014/1/21,1502.284959
2014/1/22,1503.438788
2014/1/23,1512.669418
2014/1/24,1517.284732
2014/1/27,1504.592617
2014/1/28,1474.593071
2014/1/29,1509.207931
2014/1/30,1495.361987
2014/2/7,1502.284959
2014/2/10,1514.977075
2014/2/11,1512.669418
2014/2/12,1504.592617
2014/2/13,1506.900274
2014/2/14,1509.207931
2014/2/17,1534.592163
2014/2/18,1509.207931
2014/2/19,1489.592844
2014/2/20,1494.208158
2014/2/21,1495.361987
2014/2/24,1489.592844
2014/2/25,1481.516043
2014/2/26,1480.362214
2014/2/27,1446.901182
2014/2/28,1430.74758
2014/3/3,1430.74758
2014/3/4,1439.97821
2014/3/5,1449.208839
2014/3/6,1442.285867
2014/3/10,1436.516724
2014/3/11,1471.131585
2014/3/12,1494.208158
2014/3/14,1465.362441
2014/3/17,1436.516724
2014/3/18,1454.977983
2014/3/19,1459.593298
2014/3/20,1454.977983
2014/3/21,1482.669872
2014/3/24,1484.977529
2014/3/25,1472.285413
2014/3/26,1487.285186
2014/3/27,1498.823473
2014/3/28,1519.59239
2014/3/31,1544.976621
2014/4/1,1536.89982
2014/4/2,1524.207704
2014/4/3,1550.745764
2014/4/4,1518.438561
2014/4/8,1525.361533
2014/4/9,1556.514908
2014/4/10,1559.976394
2014/4/11,1532.284505
2014/4/14,1528.823019
2014/4/15,1468.823927
2014/4/16,1450.362668
2014/4/17,1471.131585
2014/4/18,1458.439469
2014/4/21,1469.977756
2014/4/22,1466.51627
2014/4/23,1463.054784
2014/4/24,1465.362441
2014/4/25,1466.51627
2014/4/28,1463.054784
2014/4/29,1451.516497
2014/4/30,1449.208839
2014/5/1,1459.593298
2014/5/5,1468.823927
2014/5/6,1461.900955
2014/5/7,1457.28564
2014/5/8,1450.362668
2014/5/9,1427.286094
2014/5/12,1441.132039
2014/5/13,1423.824608
2014/5/14,1418.055465
2014/5/15,1411.132492
2014/5/16,1386.90209
2014/5/19,1381.132946
2014/5/20,1374.209974
2014/5/21,1364.979345
2014/5/22,1363.825516
2014/5/23,1373.056146
2014/5/26,1383.440604
2014/5/27,1375.363803
2014/5/28,1368.440831
2014/5/29,1359.210201
2014/5/30,1358.056373
2014/6/3,1366.133173
2014/6/4,1352.287229
2014/6/5,1364.979345
2014/6/6,1370.748488
2014/6/9,1363.825516
2014/6/10,1375.363803
2014/6/11,1369.59466
2014/6/12,1373.056146
2014/6/13,1366.133173
2014/6/16,1359.210201
2014/6/17,1373.056146
2014/6/18,1366.133173
2014/6/19,1361.517859
2014/6/20,1377.67146
2014/6/23,1375.363803
